FNPresence
FNPreserving
FNLeadership
FNLeadership
FNCause-motion
FNText
FNAgriculture
FNAgriculture
FNExcreting
FNExperiencer-obj
FNTaking-sides
FNChoosing
FNPath-traveled
FNRite
FNSentencing	FNRequest	FNBail-decision	FNArranging
FNRite
FNRemoving	FNEmptying
FNText
FNPlacing	FNFilling
FNCreate-physical-artwork
FNAttempt-suasion
FNCommunication-manner
FNAwareness
FNAwareness
FNFeigning
FNAttempt-suasion
FNPrevarication
FNPrevarication
FNThwarting	FNPreventing
FNCommerce-scenario
FNBuilding
FNInchoative-attaching	FNClosure	FNAttaching
FNKinship
FNKinship	FNBirth
FNGrasp
FNJudgment
FNOrganization
FNOrigin	FNAchieving-first
FNExperiencer-focus
FNCause-to-be-wet
FNDressing
FNClothing
FNFluidic-motion
FNMotion
FNPerception-body
FNText-creation
FNText-creation
FNRemoving
FNPrison
FNExperiencer-obj
FNExperiencer-focus
FNSocial-event	FNIngestion
FNIngestion
FNDesiring
FNSensation	FNSeeking	FNPerception-experience	FNPerception-active	FNFeeling	FNAppearance
FNQuantity	FNMeasure-mass
FNRemoving	FNChange-of-leadership
FNIsolated-places
FNNatural-features
FNSurpassing
FNClothing
FNIngestion
FNFluidic-motion
FNSelf-motion	FNOperate-vehicle	FNBringing
FNRoadways
FNPrecipitation	FNPlacing
FNDrop-in-on
FNPath-shape	FNMotion-directional	FNChange-posture	FNChange-position-on-a-scale	FNBody-movement
FNKilling	FNDeath
FNJudgment
FNExpertise
FNScrutiny	FNCriminal-investigation
FNSelf-motion
FNStatement
FNObservable-body-parts
FNFeigning
FNNatural-features
FNPeople
FNOffenses
FNVehicle	FNBringing
FNSummarizing
FNTemporal-subregion
FNSurpassing
FNPart-inner-outer
FNSurpassing
FNShapes
FNClothing
FNClothing
FNContainers
FNCause-to-be-dry
FNCause-to-be-dry
FNCause-to-be-dry
FNStatement
FNName-conferral
FNInclination
FNManufacturing	FNBehind-the-scenes
FNBehind-the-scenes
FNManufacturing
FNStatement
FNRotting
FNSocial-event
FNAdorning
FNText
FNBringing
FNSocial-event
FNAccoutrements
FNBungling
FNPrevarication
FNPerception-experience
FNExperiencer-obj
FNConduct
FNLeadership
FNTemporary-stay
FNKilling
FNRoadways
FNInvading
FNExcreting
FNChange-of-leadership
FNPossession
FNPossession
FNLeadership
FNBody-movement	FNAvoiding
FNHostile-encounter
FNNatural-features
FNPeople-by-vocation	FNEducation-teaching
FNExpertise
FNProject
FNProhibiting	FNDeny-permission
FNBody-movement
FNAddiction
FNHostile-encounter
FNHostile-encounter
FNTheft
FNOpinion
FNPossession
FNReligious-belief	FNAwareness
FNCorroding-caused
FNJudgment-communication
FNSelf-motion
FNExperiencer-obj
FNPersonal-relationship
FNPlacing	FNFilling	FNContainers
FNPart-piece
FNPlacing	FNAggregate
FNSounds	FNCommunication-noise
FNMeasure-volume
FNAttaching
FNSelf-motion
FNObservable-body-parts
FNTraversing	FNShapes	FNAggregate
FNOperate-vehicle	FNBringing
FNAccoutrements
FNRite
FNDuplication
FNDuplication
FNCalendric-unit
FNRemoving	FNPlacing	FNFilling
FNResidence	FNCogitation
FNResidence
FNProliferating-in-number
FNProliferating-in-number
FNChange-event-duration
FNSelf-motion
FNCommitment
FNSpelling-and-pronouncing
FNCause-expansion	FNCause-change-of-position-on-a-scale
FNComplaining
FNProtecting
FNEstimating	FNComing-to-believe
FNSubmitting-documents	FNSelf-motion	FNPlacing
FNFilling	FNAdorning
FNCutting
FNBehind-the-scenes
FNBehind-the-scenes	FNAdorning
FNObservable-body-parts
FNProcess-end
FNBecoming-aware
FNVerdict	FNLocating	FNComing-to-believe	FNBecoming-aware
FNInstalling
FNInstance
FNInstitutions
FNInstitutionalization
FNEducation-teaching
FNPossession
FNPossession
FNCause-harm	FNAccoutrements
FNContacting
FNPosture	FNPath-shape	FNChange-posture	FNBody-movement
FNContainers
FNGiving
FNFilling	FNCreate-representation	FNCreate-physical-artwork
FNJudgment-direct-address
FNPhysical-artworks
FNAccoutrements
FNJudgment-communication	FNAdducing
FNPersonal-relationship
FNPeople-by-jurisdiction
FNJudgment-communication
FNWeapon
FNExperiencer-obj
FNNatural-features
FNEvoking
FNContacting	FNAccoutrements
FNStatement
FNSimilarity
FNInspecting
FNRemoving
FNCause-motion
FNInclination
FNPossession
FNPredicting
FNPredicting
FNInfluence-of-event-on-cognizer	FNCotheme
FNStatement
FNExecution
FNNatural-features
FNNatural-features
FNIngestion
FNAttaching
FNBirth
FNKinship
FNKinship
FNChange-posture
FNChange-posture
FNGizmo
FNCause-emotion
FNChange-of-leadership
FNInformation
FNLinguistic-meaning
FNRequest
FNBesieging
FNPlacing
FNSounds
FNMemory
FNClaim-ownership
FNCatastrophe
FNSelf-motion
FNOmen
FNSounds	FNMotion-noise	FNMake-noise	FNImpact	FNCause-to-make-noise	FNCause-impact
FNMotion-noise
FNBody-movement
FNImpact	FNHostile-encounter	FNCompatibility	FNCause-impact
FNCause-to-fragment
FNSelf-motion	FNRemoving	FNDamaging	FNCause-to-fragment
FNCommunication-response
FNRising-to-a-challenge	FNPath-shape	FNMotion-directional	FNGetting-up	FNChange-posture	FNChange-position-on-a-scale
FNRun-risk
FNRite
FNRite
FNEvaluative-comparison
FNClothing
FNHostile-encounter
FNMotion-noise	FNMake-noise
FNExpertise
FNFluidic-motion
FNEmptying
FNPeople
FNPosture	FNPlacing	FNChange-posture	FNBeing-located
FNLocale-by-event
FNPlacing
FNOperate-vehicle
FNIntercepting
FNIntercepting
FNEmotion-directed
FNHindering
FNDiscussion
FNCause-to-amalgamate	FNAmalgamation
FNDetaining
FNDetaining
FNSurpassing
FNAggregate
FNExperiencer-obj
FNEmotion-directed
FNExperiencer-obj
FNClothing-parts
FNType	FNCategorization	FNAggregate
FNQuarreling
FNCategorization
FNCategorization
FNOperate-vehicle
FNSounds	FNMotion-noise	FNImpact	FNCause-impact
FNObservable-body-parts	FNManipulation
FNGrooming
FNResolve-problem
FNVerdict	FNRemoving	FNEmptying
FNNatural-features
FNAttaching
FNRoadways
FNRoadways
FNSelf-motion
FNSounds	FNCommunication-noise
FNApply-heat
FNIngestion
FNCustom	FNAddiction
FNText
FNText
FNNatural-features
FNSelf-motion	FNScrutiny	FNRemoving	FNReading
FNObservable-body-parts
FNSelf-motion
FNHostile-encounter
FNTraversing	FNPath-shape	FNClothing	FNAvoiding
FNSelf-motion
FNAccoutrements
FNCategorization
FNCategorization
FNQuestioning
FNQuestioning
FNInterrupt-process
FNExperiencer-obj
FNExperiencer-obj
FNInvading
FNOperate-vehicle
FNClothing
FNObservable-body-parts
FNPlacing
FNCause-to-fragment
FNQuantity
FNClemency
FNContainers
FNPeople-by-vocation
FNPredicament	FNInchoative-attaching	FNAttaching
FNSounds	FNMotion-noise	FNImpact	FNCause-impact
FNNatural-features
FNSelf-motion	FNChange-position-on-a-scale
