00001740	00002098
00002312	00002527
00002730	00002843
00002956	00003131
00003356	00003939
00004227	00005041
00004394	00004567
00004413	00004980
00005205	00006032
00006259	00006423
00006336	00007813
00007703	00008007
00008206	00008595
00008734	00008877
00009046	00009978
00009650	00010047
00011093	00011516
00011757	00013160
00012129	00012286
00013092	00013236
00013793	00014014
00013887	00016756
00014405	00014549
00014616	00014738
00014742	00020133
00015368	00015706
00015946	00016183
00017282	00018526
00017352	00017688
00017782	00018584
00017865	00018158
00018813	00019273
00019128	00021939
00019131	00019874
00019339	00020759
00020787	00021403
00021065	00022099
00021766	00023383
00022316	00022686
00022686	00023244
00023574	00023721
00024417	00024834
00024649	00075021
00025203	00025654
00025238	00025728
00025238	00026515
00025728	00026515
00026153	00026385
00026706	00027074
00027247	00028672
00029343	00031533
00031304	00031515
00031674	00031824
00031820	00066191
00031974	00033574
00034710	00035074
00035058	00035385
00035058	00374520
00035465	00036481
00035718	00036068
00037457	00037757
00038625	00038767
00038750	00039592
00040325	00040685
00040547	00062330
00041051	00041361
00041618	00041841
00041758	00041954
00042037	00042228
00042254	00042769
00042457	00043125
00042484	00042614
00043411	00043615
00043765	00044353
00044149	00045346
00044760	00045123
00045561	00046014
00045817	00046151
00046109	00046673
00046534	00049900
00047029	00047566
00047356	00047550
00047786	00047954
00047945	00049900
00048129	00050083
00049309	00049483
00050195	00053609
00050297	00050556
00050641	00050947
00051045	00051696
00051170	00051370
00052672	00054908
00054483	00282050
00054524	00054636
00055312	00055518
00055340	00055539
00055765	00055906
00056002	00060397
00056054	00056200
00056916	00057042
00058002	00058337
00058128	00058359
00059559	00059769
00060969	00061088
00061262	00063277
00062330	00062650
00063291	00063916
00064479	00065488
00065070	00065495
00065575	00066901
00065791	00066800
00067038	00067767
00067966	00068278
00068566	00069060
00069217	00069427
00069531	00070583
00069901	00070166
00070939	00071992
00073048	00074346
00074201	00075442
00074407	00074641
00075135	00075515
00075952	00076341
00076400	00077369
00076921	00077449
00077645	00081671
00078445	00078558
00079617	00079748
00079866	00079947
00080039	00080169
00080743	00080968
00080890	00081194
00082241	00084956
00083541	00083666
00084038	00170188
00085264	00087152
00085811	00161630
00086926	00087037
00087354	00088658
00087916	00088303
00088713	00089324
00089051	00089355
00090103	00129532
00090718	00090917
00090718	00091121
00090917	00091121
00091311	00092551
00092293	00092690
00092691	00092933
00092985	00093139
00093275	00093810
00094396	00094545
00094448	00095280
00094765	00094893
00095063	00095195
00095320	00096333
00095612	00096760
00096089	00097011
00097108	00097231
00098529	00098736
00098933	00099097
00099290	00099874
00099341	00099527
00099712	00099868
00100082	00100267
00100634	00101152
00101331	00101452
00101609	00101800
00102201	00103696
00104051	00105023
00104345	00104528
00105388	00105566
00105746	00106456
00105775	00105908
00106503	00106629
00106921	00107230
00107648	00107984
00108263	00108434
00108479	00109151
00108595	00108698
00108647	00109328
00109016	00109133
00109261	00109382
00109261	00109504
00109382	00109504
00109633	00109782
00109660	00117985
00109966	00110252
00110497	00110701
00110533	00110659
00110815	00110919
00110853	00111129
00111415	00111856
00111609	00111758
00112231	00112628
00113015	00113245
00113311	00113441
00113476	00113663
00113818	00116463
00114310	00114461
00114750	00114932
00116529	00117106
00117385	00117754
00118066	00118238
00118567	00119409
00119524	00119725
00119578	00119798
00119875	00120132
00119940	00168075
00120252	00120411
00120474	00120678
00120474	00120841
00120574	00121034
00121552	00121649
00121865	00122626
00122124	00122273
00122427	00122630
00123653	00123804
00124077	00124918
00124077	00125319
00124918	00125319
00125711	00127296
00127531	00127672
00127866	00128091
00128168	00128290
00128467	00128572
00128882	00129029
00129103	00129276
00129103	00129467
00129276	00129467
00129612	00129729
00129878	00130017
00130151	00130281
00130412	00130596
00130778	00131426
00132127	00132385
00132849	00133065
00133259	00133335
00133417	00133851
00134060	00134401
00134701	00135718
00135013	00135578
00136354	00137641
