path_similarity :
('value', 'nn', Synset('value.n.01'), 0.35294117647058826)
('generation', 'nn', Synset('coevals.n.01'), 0.3333333333333333)
('society', 'nn', Synset('society.n.01'), 0.3333333333333333)
('instruction', 'nn', Synset('direction.n.06'), 0.3333333333333333)
('way', 'nn', Synset('manner.n.01'), 0.3333333333333333)
('life', 'nn', Synset('life.n.01'), 0.3076923076923077)
('party', 'nn', Synset('party.n.01'), 0.3076923076923077)
('jurisdiction', 'nn', Synset('legal_power.n.01'), 0.3076923076923077)
('convention', 'nn', Synset('convention.n.01'), 0.2857142857142857)
('protocol', 'nn', Synset('protocol.n.01'), 0.2857142857142857)
('school', 'nn', Synset('school.n.01'), 0.26666666666666666)
('article', 'nn', Synset('article.n.01'), 0.26666666666666666)
('act', 'nn', Synset('act.n.01'), 0.26666666666666666)
('effect', 'nn', Synset('consequence.n.01'), 0.16666666666666666)
('think', 'vb', Synset('think.v.01'), 0.0)
('formative', 'adj', Synset('formative.s.01'), 0.0)
('european', 'adj', Synset('european.a.01'), 0.0)
('transmit', 'vb', Synset('convey.v.03'), 0.0)
('narrow', 'adj', Synset('narrow.a.01'), 0.0)
('guarantee', 'vb', Synset('guarantee.v.01'), 0.0)
('have', 'vb', Synset('have.v.01'), 0.0)
('recognize', 'vb', Synset('acknowledge.v.06'), 0.0)
('formal', 'adj', Synset('formal.a.01'), 0.0)
('next', 'adj', Synset('following.s.02'), 0.0)
('first', 'adj', Synset('first.a.01'), 0.0)
('deliberately', 'rb', Synset('intentionally.r.01'), 0.0)
('accumulate', 'vb', Synset('roll_up.v.02'), 0.0)
('generally', 'rb', Synset('by_and_large.r.01'), 0.0)
('feel', 'vb', Synset('feel.v.01'), 0.0)
('oblige', 'vb', Synset('compel.v.01'), 0.0)
('occur', 'vb', Synset('happen.v.01'), 0.0)
('create', 'vb', Synset('make.v.03'), 0.0)
('general', 'adj', Synset('general.a.01'), 0.0)
('technical', 'adj', Synset('technical.a.01'), 0.0)

